id;estimated_ship_date;estimated_ready_date;estimated_arrival_date;estimated_ship_cost;actual_ship_cost;latest_cancel_date;handling_instructions;reference;tracking_num;tracking_link;shipment_method;shipment_type;shipment_status
1;2020-03-30;2020-03-30;2020-03-30;18343;73199;2020-03-30;Savings Account Dam;Practical Fresh Pants;Metal deposit;Producer;Implementation Electronics Officer;TRANSFER;DELIVERED
2;2020-03-30;2020-03-31;2020-03-31;29214;97375;2020-03-30;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;Planner cross-platform access;CUSTOMER;CANCELED
3;2020-03-31;2020-03-31;2020-03-30;39106;25877;2020-03-31;copy convergence;Mayotte;Industrial;connect Markets Chief;capacitor archive;CUSTOMER;SHIPPED
4;2020-03-30;2020-03-30;2020-03-31;14092;29627;2020-03-30;Small;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;world-class Frozen IB;CUSTOMER;DELIVERED
5;2020-03-30;2020-03-30;2020-03-30;27472;88721;2020-03-30;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;PURCHASERETURN;SCHEDULED
6;2020-03-30;2020-03-30;2020-03-30;16122;88046;2020-03-30;virtual deposit;Squares mint green e-business;Ghana back-end National;Direct;Profit-focused;CUSTOMER;DELIVERED
7;2020-03-30;2020-03-30;2020-03-31;69243;11986;2020-03-31;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;CUSTOMER;SHIPPED
8;2020-03-30;2020-03-30;2020-03-31;76161;36965;2020-03-31;transmitter;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;PURCHASE;RECEIVED
9;2020-03-30;2020-03-30;2020-03-30;83771;13752;2020-03-30;bandwidth azure;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented;Agent;CUSTOMER;CANCELED
10;2020-03-30;2020-03-30;2020-03-30;88708;40450;2020-03-30;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;CUSTOMER;SHIPPED
